oem,modelYear,model,ft,variantName,ownerNo,km,City,price_cleaned,km_bucket
Ford,2018,Ford Ecosport,Petrol,1.5 Petrol Titanium BSIV,2,32706,Bangalore,811000.0,30000-40000
Tata,2018,Tata Tiago,Petrol,1.2 Revotron XZ,1,11949,Bangalore,585000.0,10000-20000
Hyundai,2014,Hyundai Xcent,Petrol,1.2 Kappa S Option,1,17794,Bangalore,462000.0,10000-20000
Maruti,2015,Maruti SX4 S Cross,Diesel,DDiS 200 Zeta,1,60000,Bangalore,790000.0,60000-70000
Jeep,2020,Jeep Compass,Diesel,2.0 Longitude BSIV,1,20000,Bangalore,1900000.0,20000-30000
Datsun,2017,Datsun GO,Petrol,T Option BSIV,1,37772,Bangalore,345000.0,30000-40000
Hyundai,2021,Hyundai Venue,Petrol,SX Plus Turbo DCT BSIV,1,30000,Bangalore,1200000.0,30000-40000
Maruti,2018,Maruti Ciaz,Petrol,Alpha Automatic BSIV,1,37000,Bangalore,960000.0,30000-40000
Tata,2017,Tata Tiago,Petrol,1.2 Revotron XZ WO Alloy,1,11949,Bangalore,585000.0,10000-20000
Maruti,2018,Maruti Baleno,Petrol,1.2 Delta,1,50000,Bangalore,690000.0,50000-60000
Hyundai,2019,Hyundai Grand i10,Petrol,1.2 Kappa Sportz Option AT,1,24887,Bangalore,682000.0,20000-30000
Honda,2018,Honda Jazz,Petrol,VX CVT,1,23000,Bangalore,825000.0,20000-30000
Tata,2018,Tata Tiago,Petrol,1.2 Revotron XZA,1,48928,Bangalore,595000.0,40000-50000
Mahindra,2014,Mahindra XUV500,Diesel,W6 2WD,3,108862,Bangalore,690000.0,100000-110000
Jeep,2018,Jeep Compass,Diesel,2.0 Limited,1,80000,Bangalore,1350000.0,80000-90000
Mercedes-Benz,2022,Mercedes-Benz GLA,Diesel,220d 4M BSVI,1,16000,Bangalore,5595000.0,10000-20000
Hyundai,2014,Hyundai i20,Diesel,Asta 1.4 CRDi,2,65376,Bangalore,521000.0,60000-70000
Tata,2022,Tata Nexon,Petrol,XM Plus S BSVI,1,10000,Bangalore,1005000.0,10000-20000
Honda,2016,Honda City,Petrol,i VTEC V,2,67000,Bangalore,775000.0,60000-70000
BMW,2011,BMW 5 Series,Diesel,520d Sedan,3,100000,Bangalore,2200000.0,100000-110000
Maruti,2016,Maruti Swift,Petrol,VXI,1,18083,Bangalore,582000.0,10000-20000
Renault,2020,Renault Duster,Petrol,RXS,1,30000,Bangalore,1090000.0,30000-40000
Tata,2016,Tata Tiago,Petrol,1.2 Revotron XZ,2,57634,Bangalore,457000.0,50000-60000
Mercedes-Benz,2016,Mercedes-Benz S-Class,Petrol,S 500 L,2,50000,Bangalore,4900000.0,50000-60000
Honda,2015,Honda City,Petrol,i VTEC V,1,110000,Bangalore,550000.0,110000-120000
Hyundai,2018,Hyundai Santro,Petrol,Sportz AMT BSIV,1,23447,Bangalore,570000.0,20000-30000
Mercedes-Benz,2017,Mercedes-Benz E-Class,Petrol,Exclusive E 200,1,33000,Bangalore,4145000.000000001,30000-40000
