oem,modelYear,model,ft,ownerNo,City,price_cleaned,km_bucket
Ford,2018,Ford Ecosport,Petrol,2,Bangalore,811000.0,30000-40000
Tata,2018,Tata Tiago,Petrol,1,Bangalore,585000.0,10000-20000
Hyundai,2014,Hyundai Xcent,Petrol,1,Bangalore,462000.0,10000-20000
Maruti,2015,Maruti SX4 S Cross,Diesel,1,Bangalore,790000.0,60000-70000
Jeep,2020,Jeep Compass,Diesel,1,Bangalore,1900000.0,20000-30000
Datsun,2017,Datsun GO,Petrol,1,Bangalore,345000.0,30000-40000
Hyundai,2021,Hyundai Venue,Petrol,1,Bangalore,1200000.0,30000-40000
Maruti,2018,Maruti Ciaz,Petrol,1,Bangalore,960000.0,30000-40000
Tata,2017,Tata Tiago,Petrol,1,Bangalore,585000.0,10000-20000
Maruti,2018,Maruti Baleno,Petrol,1,Bangalore,690000.0,50000-60000
Hyundai,2019,Hyundai Grand i10,Petrol,1,Bangalore,682000.0,20000-30000
Honda,2018,Honda Jazz,Petrol,1,Bangalore,825000.0,20000-30000
Tata,2018,Tata Tiago,Petrol,1,Bangalore,595000.0,40000-50000
Mahindra,2014,Mahindra XUV500,Diesel,3,Bangalore,690000.0,100000-110000
Jeep,2018,Jeep Compass,Diesel,1,Bangalore,1350000.0,80000-90000
Mercedes-Benz,2022,Mercedes-Benz GLA,Diesel,1,Bangalore,5595000.0,10000-20000
Hyundai,2014,Hyundai i20,Diesel,2,Bangalore,521000.0,60000-70000
Tata,2022,Tata Nexon,Petrol,1,Bangalore,1005000.0,10000-20000
Honda,2016,Honda City,Petrol,2,Bangalore,775000.0,60000-70000
BMW,2011,BMW 5 Series,Diesel,3,Bangalore,2200000.0,100000-110000
Maruti,2016,Maruti Swift,Petrol,1,Bangalore,582000.0,10000-20000
Renault,2020,Renault Duster,Petrol,1,Bangalore,1090000.0,30000-40000
Tata,2016,Tata Tiago,Petrol,2,Bangalore,457000.0,50000-60000
Mercedes-Benz,2016,Mercedes-Benz S-Class,Petrol,2,Bangalore,4900000.0,50000-60000
Honda,2015,Honda City,Petrol,1,Bangalore,550000.0,110000-120000
Hyundai,2018,Hyundai Santro,Petrol,1,Bangalore,570000.0,20000-30000
Mercedes-Benz,2017,Mercedes-Benz E-Class,Petrol,1,Bangalore,4145000.000000001,30000-40000
Mahindra,2014,Mahindra XUV500,Diesel,2,Bangalore,861000.0,80000-90000
Audi,2016,Audi A4,Diesel,2,Bangalore,1785000.0000000002,40000-50000
Mahindra,2014,Mahindra XUV500,Diesel,2,Bangalore,802999.9999999999,70000-80000
Jeep,2021,Jeep Compass,Diesel,1,Bangalore,2565000.0,30000-40000
Hyundai,2018,Hyundai Xcent,Petrol,1,Bangalore,674000.0,50000-60000
Maruti,2015,Maruti Wagon R,Petrol,1,Bangalore,349000.0,10000-20000
Maruti,2019,Maruti Ertiga,Petrol,2,Bangalore,1050000.0,60000-70000
Mercedes-Benz,2019,Mercedes-Benz C-Class,Diesel,1,Bangalore,4425000.0,10000-20000
Maruti,2015,Maruti Wagon R,Petrol,2,Bangalore,406000.0,40000-50000
BMW,2020,BMW 5 Series,Petrol,1,Bangalore,4965000.0,10000-20000
Renault,2020,Renault Duster,Diesel,2,Bangalore,1100000.0,40000-50000
Hyundai,2016,Hyundai i20,Petrol,1,Bangalore,594000.0,80000-90000
Maruti,2017,Maruti Baleno,Petrol,1,Bangalore,692000.0,50000-60000
Audi,2015,Audi A6,Diesel,1,Bangalore,2090000.0,50000-60000
Maruti,2021,Maruti Alto 800,Petrol,1,Bangalore,411000.00000000006,10000-20000
Mini,2016,Mini 3 DOOR,Petrol,1,Bangalore,3675000.0,40000-50000
Tata,2019,Tata Tiago,Petrol,1,Bangalore,610000.0,60000-70000
Kia,2020,Kia Seltos,Petrol,2,Bangalore,1675000.0,30000-40000
Tata,2018,Tata Tiago,Petrol,2,Bangalore,530000.0,60000-70000
Mercedes-Benz,2022,Mercedes-Benz E-Class,Diesel,1,Bangalore,7990000.000000001,0-10000
Hyundai,2019,Hyundai i20,Petrol,1,Bangalore,715000.0,40000-50000
Mercedes-Benz,2014,Mercedes-Benz GL-Class,Diesel,2,Bangalore,3500000.0,100000-110000
Tata,2021,Tata New Safari,Diesel,1,Bangalore,2250000.0,20000-30000
Hyundai,2018,Hyundai Grand i10,Petrol,1,Bangalore,625000.0,30000-40000
Audi,2015,Audi Q7,Diesel,1,Bangalore,2695000.0,70000-80000
Renault,2022,Renault KWID,Petrol,1,Bangalore,550000.0,10000-20000
Tata,2018,Tata Nexon,Diesel,1,Bangalore,825000.0,50000-60000
Maruti,2014,Maruti Celerio,Petrol,1,Bangalore,428000.0,50000-60000
Skoda,2014,Skoda Rapid,Diesel,1,Bangalore,695000.0,110000-120000
Ford,2019,Ford Ecosport,Petrol,2,Bangalore,930000.0,30000-40000
Maruti,2021,Maruti Alto 800,Petrol,1,Bangalore,455000.0,10000-20000
Hyundai,2017,Hyundai Creta,Diesel,1,Bangalore,1195000.0,90000-100000
Tata,2021,Tata Harrier,Diesel,1,Bangalore,2175000.0,30000-40000
Maruti,2014,Maruti Swift,Petrol,3,Bangalore,442000.0,50000-60000
Maruti,2018,Maruti Swift,Diesel,1,Bangalore,690000.0,110000-120000
Maruti,2017,Maruti Celerio,Petrol,2,Bangalore,500000.0,60000-70000
BMW,2016,BMW 3 Series GT,Diesel,1,Bangalore,3395000.0000000005,40000-50000
Maruti,2015,Maruti Ciaz,Diesel,1,Bangalore,650000.0,100000-110000
Honda,2016,Honda Jazz,Petrol,2,Bangalore,537000.0,40000-50000
Renault,2016,Renault Lodgy,Diesel,1,Bangalore,750000.0,70000-80000
Skoda,2018,Skoda Octavia,Petrol,1,Bangalore,1789999.9999999998,70000-80000
Tata,2017,Tata Tiago,Petrol,2,Bangalore,468000.0,60000-70000
Maruti,2014,Maruti Ritz,Petrol,2,Bangalore,420000.0,60000-70000
Maruti,2014,Maruti Ritz,Petrol,2,Bangalore,420000.0,60000-70000
Hyundai,2021,Hyundai i20,Petrol,1,Bangalore,920000.0,10000-20000
Honda,2013,Honda City,Petrol,1,Bangalore,533000.0,40000-50000
Volkswagen,2013,Volkswagen Polo,Petrol,3,Bangalore,850000.0,90000-100000
Skoda,2017,Skoda Rapid,Diesel,2,Bangalore,751000.0,40000-50000
Hyundai,2014,Hyundai Grand i10,Diesel,2,Bangalore,388000.0,70000-80000
Hyundai,2013,Hyundai i20,Petrol,2,Bangalore,490000.00000000006,60000-70000
Mahindra,2016,Mahindra KUV 100,Diesel,1,Bangalore,494000.00000000006,20000-30000
Hyundai,2013,Hyundai i20,Diesel,2,Bangalore,525000.0,80000-90000
BMW,2016,BMW X3,Diesel,2,Bangalore,2890000.0,90000-100000
Maruti,2018,Maruti Wagon R,Petrol,1,Bangalore,550000.0,60000-70000
Renault,2016,Renault KWID,Petrol,2,Bangalore,420000.0,20000-30000
Volvo,2017,Volvo S60,Diesel,1,Bangalore,1895000.0,80000-90000
Mercedes-Benz,2018,Mercedes-Benz E-Class,Diesel,2,Bangalore,5990000.0,20000-30000
Mahindra,2022,Mahindra XUV300,Petrol,1,Bangalore,1050000.0,10000-20000
MG,2021,MG Hector Plus,Petrol,1,Bangalore,2075000.0,10000-20000
Honda,2013,Honda Brio,Petrol,1,Bangalore,394000.0,30000-40000
Maruti,2017,Maruti Baleno,Petrol,2,Bangalore,725000.0,20000-30000
Maruti,2013,Maruti Alto K10,Petrol,1,Bangalore,240000.0,50000-60000
Renault,2022,Renault Kiger,Petrol,1,Bangalore,835000.0,10000-20000
Hyundai,2019,Hyundai Grand i10,Petrol,1,Bangalore,695000.0,10000-20000
Kia,2020,Kia Seltos,Petrol,1,Bangalore,1725000.0,10000-20000
Hyundai,2014,Hyundai EON,Petrol,1,Bangalore,330000.0,20000-30000
Volkswagen,2019,Volkswagen Vento,Petrol,1,Bangalore,990000.0,20000-30000
Toyota,2018,Toyota Yaris,Petrol,1,Bangalore,750000.0,30000-40000
Honda,2018,Honda Jazz,Petrol,1,Bangalore,755000.0,60000-70000
MG,2021,MG Hector,Diesel,1,Bangalore,1750000.0,30000-40000
Hyundai,2022,Hyundai Alcazar,Petrol,1,Bangalore,2083000.0,0-10000
Hyundai,2010,Hyundai i10,Petrol,1,Bangalore,271000.0,40000-50000
Hyundai,2018,Hyundai Creta,Petrol,1,Bangalore,1280000.0,40000-50000
Hyundai,2012,Hyundai i20,Diesel,1,Bangalore,436000.00000000006,40000-50000
Hyundai,2021,Hyundai Creta,Petrol,2,Bangalore,1675000.0,20000-30000
Hyundai,2019,Hyundai Venue,Petrol,1,Bangalore,1250000.0,20000-30000
Mahindra,2016,Mahindra XUV500,Diesel,1,Bangalore,1350000.0,50000-60000
Hyundai,2019,Hyundai Venue,Petrol,1,Bangalore,1250000.0,20000-30000
Volkswagen,2020,Volkswagen T-Roc,Petrol,1,Bangalore,2225000.0,40000-50000
Maruti,2015,Maruti Celerio,Petrol,1,Bangalore,475000.0,60000-70000
Jeep,2021,Jeep Compass,Petrol,1,Bangalore,2450000.0,30000-40000
Kia,2020,Kia Seltos,Petrol,1,Bangalore,1625000.0,20000-30000
Skoda,2014,Skoda Superb,Diesel,1,Bangalore,1650000.0,30000-40000
Renault,2014,Renault Duster,Petrol,2,Bangalore,630000.0,80000-90000
Audi,2016,Audi Q5,Diesel,2,Bangalore,2599000.0,30000-40000
Maruti,2017,Maruti Alto K10,Petrol,1,Bangalore,385000.0,50000-60000
Hyundai,2012,Hyundai i20,Petrol,3,Bangalore,300000.0,110000-120000
Ford,2017,Ford Endeavour,Diesel,1,Bangalore,2975000.0,80000-90000
Maruti,2014,Maruti Alto 800,Petrol,2,Bangalore,276000.0,20000-30000
Ford,2018,Ford Figo,Petrol,1,Bangalore,500000.0,30000-40000
Maruti,2020,Maruti Ignis,Petrol,1,Bangalore,730000.0,10000-20000
Hyundai,2022,Hyundai Alcazar,Diesel,1,Bangalore,2245000.0,10000-20000
Hyundai,2014,Hyundai Grand i10,Petrol,1,Bangalore,399000.0,70000-80000
Hyundai,2011,Hyundai i10,Petrol,2,Bangalore,312000.0,70000-80000
Mahindra,2015,Mahindra XUV500,Diesel,1,Bangalore,1275000.0,40000-50000
Tata,2022,Tata Harrier,Diesel,1,Bangalore,1990000.0,30000-40000
Renault,2020,Renault Triber,Petrol,1,Bangalore,719000.0,20000-30000
Hyundai,2016,Hyundai Creta,Diesel,1,Bangalore,1260000.0,50000-60000
Hyundai,2010,Hyundai i10,Petrol,2,Bangalore,300000.0,90000-100000
BMW,2016,BMW X5,Diesel,2,Bangalore,3981000.0,70000-80000
Hyundai,2016,Hyundai i20,Petrol,1,Bangalore,627000.0,50000-60000
BMW,2010,BMW 3 Series,Diesel,2,Bangalore,1300000.0,70000-80000
Honda,2015,Honda City,Petrol,1,Bangalore,672000.0,60000-70000
Hyundai,2017,Hyundai Tucson,Diesel,1,Bangalore,1825000.0,50000-60000
Toyota,2021,Toyota Fortuner,Diesel,2,Bangalore,3500000.0,80000-90000
Hyundai,2013,Hyundai i20,Petrol,1,Bangalore,440000.00000000006,30000-40000
Tata,2019,Tata Harrier,Diesel,2,Bangalore,1460000.0,70000-80000
MG,2022,MG Hector,Petrol,1,Bangalore,2041000.0,0-10000
Hyundai,2017,Hyundai Verna,Petrol,1,Bangalore,1033000.0,30000-40000
Hyundai,2010,Hyundai i10,Petrol,1,Bangalore,275000.0,60000-70000
Hyundai,2017,Hyundai i20,Petrol,1,Bangalore,676000.0,50000-60000
Mercedes-Benz,2017,Mercedes-Benz GLC,Diesel,1,Bangalore,4290000.0,40000-50000
Nissan,2014,Nissan Terrano,Diesel,2,Bangalore,650000.0,60000-70000
Maruti,2014,Maruti Swift,Diesel,1,Bangalore,444000.00000000006,80000-90000
Renault,2020,Renault KWID,Petrol,1,Bangalore,510000.0,10000-20000
Renault,2016,Renault Duster,Diesel,2,Bangalore,925000.0,30000-40000
Honda,2019,Honda City,Petrol,2,Bangalore,1024000.0,50000-60000
Skoda,2016,Skoda Rapid,Diesel,3,Bangalore,500000.0,80000-90000
Volkswagen,2017,Volkswagen Polo,Petrol,2,Bangalore,995000.0,40000-50000
Honda,2012,Honda CR-V,Petrol,2,Bangalore,935000.0,80000-90000
Ford,2018,Ford Ecosport,Petrol,1,Bangalore,834000.0,30000-40000
Volkswagen,2015,Volkswagen Polo,Diesel,1,Bangalore,560000.0,90000-100000
Mercedes-Benz,2021,Mercedes-Benz A-Class Limousine,Petrol,1,Bangalore,3690000.0,10000-20000
Honda,2016,Honda Brio,Petrol,2,Bangalore,462000.0,30000-40000
BMW,2022,BMW 6 Series,Petrol,1,Bangalore,7900000.0,0-10000
Maruti,2019,Maruti Baleno,Petrol,2,Bangalore,843000.0,30000-40000
Maruti,2018,Maruti Baleno RS,Petrol,1,Bangalore,799000.0,30000-40000
Hyundai,2015,Hyundai i20,Petrol,1,Bangalore,576000.0,50000-60000
Renault,2018,Renault Captur,Diesel,1,Bangalore,949000.0,40000-50000
Maruti,2017,Maruti Vitara Brezza,Diesel,1,Bangalore,795000.0,90000-100000
Hyundai,2019,Hyundai Venue,Petrol,1,Bangalore,1085000.0,0-10000
Jeep,2022,Jeep Compass,Petrol,1,Bangalore,2590000.0,10000-20000
Renault,2013,Renault Duster,Diesel,2,Bangalore,516000.0,70000-80000
Ford,2017,Ford Ecosport,Petrol,2,Bangalore,777000.0,50000-60000
Honda,2019,Honda Jazz,Petrol,1,Bangalore,753000.0,0-10000
Mahindra,2017,Mahindra XUV500,Diesel,2,Bangalore,1226000.0,60000-70000
Honda,2017,Honda Jazz,Petrol,1,Bangalore,725000.0,20000-30000
Hyundai,2020,Hyundai Verna,Diesel,1,Bangalore,1150000.0,50000-60000
Maruti,2013,Maruti Swift Dzire,Petrol,2,Bangalore,447000.0,90000-100000
Maruti,2014,Maruti Ertiga,Diesel,2,Bangalore,786000.0,80000-90000
Honda,2018,Honda Jazz,Petrol,1,Bangalore,745000.0,30000-40000
Hyundai,2014,Hyundai Grand i10,Petrol,1,Bangalore,490000.00000000006,80000-90000
Honda,2017,Honda City,Petrol,2,Bangalore,942000.0,50000-60000
Ford,2016,Ford Ecosport,Petrol,2,Bangalore,675000.0,70000-80000
Honda,2013,Honda Brio,Petrol,2,Bangalore,330000.0,70000-80000
Toyota,2018,Toyota Yaris,Petrol,2,Bangalore,875000.0,40000-50000
Maruti,2017,Maruti Baleno,Petrol,1,Bangalore,869000.0,10000-20000
Volkswagen,2012,Volkswagen Vento,Diesel,2,Bangalore,425000.0,100000-110000
Honda,2019,Honda City,Petrol,1,Bangalore,1070000.0,30000-40000
Ford,2018,Ford Ecosport,Petrol,2,Bangalore,1025000.0,40000-50000
Mahindra,2016,Mahindra XUV500,Diesel,1,Bangalore,1000000.0,110000-120000
